duration (ns)
639181
641192
580423
603060
427193
534143
511002
87028
447315
421358
596421
190255
522874
419748
571268
220237
126468
509996
124255
54632
100510
105440
774401
524887
67711
419547
449328
659403
1205417
650247
476190
479611
56543
509895
105842
44771
532734
82501
521264
581329
439970
566137
697031
228487
777721
1015666
220640
143370
111477
134114
161480
650851
228890
763535
749852
746632
701357
641293
520660
728422
587869
1041825
693007
44469
452145
73446
51010
497319
496011
418239
495910
503053
559396
491785
450233
487661
632741
552252
686468
169932
808407
795428
569758
635356
86123
1139719
124053
127675
248609
740696
681034
99605
560301
856801
549436
695522
367933
431620
397211
452346
437154
412001
40043
416630
81092
45275
416629
349723
357571
311692
345195
65297
396104
445605
326683
331211
391979
400330
357671
323263
75257
396406
47086
95077
409586
42156
343687
449831
308875
376284
59662
82803
376687
377491
49601
407272
385741
73244
74854
361494
132806
72641
321049
307265
568451
439669
501444
453653
469953
533337
492691
401940
555472
98196
306762
58756
344089
104032
326683
300726
403147
387854
293984
424879
324469
320143
370650
52217
452245
67007
89845
158060
426992
53123
396809
80489
150714
400531
53223
100610
372461
320545
40446
351836
347811
294588
313302
55135
422565
82199
297103
57248
356966
473474
539374
790096
759007
101717
624491
529414
397916
121537
70025
112684
453150
575493
54229
653870
396910
436047
394696
377089
505871
388357
82098
479510
455264
410995
63686
46281
425382
63284
481221
426891
540380
135523
407273
406669
358275
427897
482026
71434
49300
294488
405360
306963
357671
321552
171943
317728
323363
128178
503355
512511
510097
614732
45275
113187
486856
481423
