Resolution,AvgAreaKm2,AverageDurationNs,Product
9,324.29,792410.568,S2
10,81.07,2615161.672,S2
11,20.27,8118721.768,S2
0,85011012.19,49931.616,S2
2,5313188.26,8061.296,S2
7,5188.66,78104.552,S2
8,1297.17,221819.708,S2
12,5.07,33029213.184,S2
13,1.27,121913366.74,S2
1,21252753.05,2711.316,S2
3,1328297.07,4063.832,S2
4,332074.27,5082.136,S2
5,83018.57,14730.696,S2
6,20754.64,38175.696,S2
