durationNs
132444
79783
101165
57511
66123
66717
107202
11483
77705
71765
90573
14650
62559
59788
614410
13165
6434
1106473
14353
23558
5445
4652
78793
66618
4950
65232
121852
92850
117101
85920
77903
104331
6039
56125
4553
39199
139076
5345
79882
62560
80575
58006
58996
10195
67806
74339
6632
4851
4355
8216
3959
58303
6137
85327
92750
59392
45336
45039
36427
39694
46523
38803
42267
5445
41871
5642
21183
47414
41971
51572
38308
40782
37714
44742
44940
63747
41079
68400
36427
7127
37318
36625
42960
48009
4652
41377
9304
3960
4652
42168
43455
5148
41871
54245
42564
41277
43554
45534
41971
54343
38209
48207
5048
37615
8612
5147
41277
72656
39694
35635
35437
4554
47117
59194
45435
42762
40189
41871
43455
45831
5741
52958
6236
7721
299435
12076
400995
490775
393769
150162
11186
12769
61866
52760
5544
88296
61074
6137
4554
63648
9305
8216
56620
65133
67509
107104
67706
48504
53552
77110
59293
121952
60579
5940
58006
5642
43653
5048
38704
45831
50879
57412
72854
63253
53848
54542
47316
5345
39496
10592
8117
5147
39298
4058
39694
4652
5543
38209
4257
5048
44841
34843
4454
38605
45039
42663
40585
4850
44841
10394
44346
5840
43356
36922
45633
36526
40782
4257
65232
42366
39892
4355
5444
5148
59096
134226
5346
56323
41277
58699
45930
38209
43158
39496
5345
37021
37813
45732
4355
4058
329230
7325
297059
107202
335664
9106
55136
63252
46029
41476
45929
7325
9998
70577
57215
70577
54740
64441
9403
54146
70182
7820
60382
95423
73844
65430
8414
6434
121754
67113
